original_value,detected_type,reason,scan_count
9100246117413009009752608071,OTHER_NUMERIC,unusual length (28 digits) — needs manual triage,2
http://myproduct.info/0xYq,URL,"QR/URL code, not a product barcode",3
(90)MD318509040019(91)280803,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,4
https://www.facebook.com/BentoSquid.Official/,URL,"QR/URL code, not a product barcode",5
https://lin.ee/aHF8o0l,URL,"QR/URL code, not a product barcode",2
02402226,EAN8,failed GS1 check-digit validation — likely a scan error,1
214525,OTHER_NUMERIC,unusual length (6 digits) — needs manual triage,3
(90)MD120867000100206,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,3
420047841,OTHER_NUMERIC,unusual length (9 digits) — needs manual triage,1
SF5118961388297,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
94005662,EAN8,failed GS1 check-digit validation — likely a scan error,1
http://www.alnasirexports.com/,URL,"QR/URL code, not a product barcode",1
https://nes.tl/q/SGSustainability,URL,"QR/URL code, not a product barcode",2
E2;076806D7E3D5;1000556,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,3
http://weixin.qq.com/r/Ah0bAyrEpnfZrW5g90gQ,URL,"QR/URL code, not a product barcode",2
https://calb.ee/tanken,URL,"QR/URL code, not a product barcode",1
010933968745793939220037893103000743152608091096728489,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,6
19556705005621,OTHER_NUMERIC,unusual length (14 digits) — needs manual triage,1
18850487037179,OTHER_NUMERIC,unusual length (14 digits) — needs manual triage,1
http://www.maepranom.com/redirect/redirect-009.php,URL,"QR/URL code, not a product barcode",1
083312806080859182,OTHER_NUMERIC,unusual length (18 digits) — needs manual triage,3
AMZ-B03-0002-01,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
130567000020,UPC_A,failed GS1 check-digit validation — likely a scan error,1
https://qr.kinder.com/web/r/country09,URL,"QR/URL code, not a product barcode",2
http://shanfoods.com,URL,"QR/URL code, not a product barcode",3
137723,OTHER_NUMERIC,unusual length (6 digits) — needs manual triage,2
https://fleurymichon.link/recvg,URL,"QR/URL code, not a product barcode",3
6552656,OTHER_NUMERIC,unusual length (7 digits) — needs manual triage,1
65465465456,OTHER_NUMERIC,unusual length (11 digits) — needs manual triage,1
https://sucreyshopping.jp/neufneuf,URL,"QR/URL code, not a product barcode",2
www.fuchs-cereals.com,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
https://qr1.be/1WLG,URL,"QR/URL code, not a product barcode",1
03082026,EAN8,failed GS1 check-digit validation — likely a scan error,1
https://itrace.siammakro.co.th/itrace/traceinfo.aspx?MAKRO.FRESH026970P117819.MAKRO1596,URL,"QR/URL code, not a product barcode",2
8801039,OTHER_NUMERIC,unusual length (7 digits) — needs manual triage,1
(90)MD266613014275(91)260415,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,2
https://twitter.com/oreojpn,URL,"QR/URL code, not a product barcode",1
64308193,EAN8,failed GS1 check-digit validation — likely a scan error,1
C245-19,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,5
8010339004914,EAN13,failed GS1 check-digit validation — likely a scan error,1
http://myproduct.info/tbbc,URL,"QR/URL code, not a product barcode",2
https://www.dettolhygieneacademy.com/,URL,"QR/URL code, not a product barcode",3
17727121,EAN8,failed GS1 check-digit validation — likely a scan error,1
https://graal.pl/obszary-polowow,URL,"QR/URL code, not a product barcode",1
242833003000432,OTHER_NUMERIC,unusual length (15 digits) — needs manual triage,1
32110000476980422,OTHER_NUMERIC,unusual length (17 digits) — needs manual triage,1
(90)MD242833003000432,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
S101461,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,3
490117002112200000000000880000001,OTHER_NUMERIC,unusual length (33 digits) — needs manual triage,1
PX78860B/A,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
https://www.kracie.co.jp/foods/okashi/chiiku/,URL,"QR/URL code, not a product barcode",2
03348580056162296197,OTHER_NUMERIC,unusual length (20 digits) — needs manual triage,1
168KTU,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
167KTU,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
332KTU,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,2
(90)MD272913002503(91)260905,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
00410000261721121,OTHER_NUMERIC,unusual length (17 digits) — needs manual triage,1
(90)NA11261700008,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,2
(90)NA18251700262,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,3
https://uqr.to/icemountain,URL,"QR/URL code, not a product barcode",1
8978227,OTHER_NUMERIC,unusual length (7 digits) — needs manual triage,2
https://jubjubnoodle.com/en/enhome/,URL,"QR/URL code, not a product barcode",1
21260869,EAN8,failed GS1 check-digit validation — likely a scan error,5
https://evion.in/,URL,"QR/URL code, not a product barcode",1
w-mt.co/q/30kJybZ0vsY41D-KJ05,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
w-mt.co/q/30d8ySf0vsY41D-KMN4,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
w-mt.co/q/30bMfft0vsY41D-KKW8,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,2
w-mt.co/q/30d8ySg0vsY41D-KKEG,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
https://www.lafourneedoree.fr/nos-produits/,URL,"QR/URL code, not a product barcode",1
20210472999991,OTHER_NUMERIC,unusual length (14 digits) — needs manual triage,1
http://myproduct.info/2EAGWR,URL,"QR/URL code, not a product barcode",17
X54N6H,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
https://apicolacostache.ro/,URL,"QR/URL code, not a product barcode",3
https://fantaurl.com/q/Dv1QPF,URL,"QR/URL code, not a product barcode",2
4811200200000155,OTHER_NUMERIC,unusual length (16 digits) — needs manual triage,1
2002002002002002002002002002001000000155,OTHER_NUMERIC,unusual length (40 digits) — needs manual triage,2
0200200200200200200200200200200100000155,OTHER_NUMERIC,unusual length (40 digits) — needs manual triage,1
48112002001000000155,OTHER_NUMERIC,unusual length (20 digits) — needs manual triage,1
37763002001000000355,OTHER_NUMERIC,unusual length (20 digits) — needs manual triage,5
300200,OTHER_NUMERIC,unusual length (6 digits) — needs manual triage,1
00000355,EAN8,failed GS1 check-digit validation — likely a scan error,1
http://qr.ruf.eu/rezept-cm,URL,"QR/URL code, not a product barcode",2
http://pepsico.info/QSg97V,URL,"QR/URL code, not a product barcode",1
http://www.marabou.se/countryselector,URL,"QR/URL code, not a product barcode",2
https://www.facebook.com/pHBalancer,URL,"QR/URL code, not a product barcode",1
https://www.bourbon.co.jp/alfort/recipe/index.html,URL,"QR/URL code, not a product barcode",4
https://qrco.de/bdfu1I,URL,"QR/URL code, not a product barcode",2
https://qr.page/g/3eUDvTvkfPN,URL,"QR/URL code, not a product barcode",1
https://bit.ly/3oOnRWy,URL,"QR/URL code, not a product barcode",5
http://bit.ly/3JeA8Od,URL,"QR/URL code, not a product barcode",1
(90)MD222867000101622,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
(90)MD255313002119(91)270509,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
(90)ML255609076037(91)221127,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
(90)MD043771001600440,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
https://www.facebook.com/GreenmateKelly/,URL,"QR/URL code, not a product barcode",2
01953915091970621526080231030020301026300274B,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,2
(90)ML220935004100756,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
www.sig-smartchoice.com,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,8
https://www.stqr.ru/75379-1-467,URL,"QR/URL code, not a product barcode",1
(90)MD802813136007(91)260614,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,2
44389054,EAN8,failed GS1 check-digit validation — likely a scan error,1
https://transparencia.aldi.es/codes/ALL049704005882,URL,"QR/URL code, not a product barcode",2
(90)MD243771002100168,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
(90)MD123771000800512,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
http://weixin.qq.com/r/Xi2OlvTEyqm1rbD193hM,URL,"QR/URL code, not a product barcode",1
https://wk­uchnizwedl­em.wedel.p­l/,URL,"QR/URL code, not a product barcode",3
http://weixin.qq.com/r/ADtNVRDEgk39rVQ2924S,URL,"QR/URL code, not a product barcode",4
http://m.site.naver.com/0YiMS,URL,"QR/URL code, not a product barcode",2
201550087,OTHER_NUMERIC,unusual length (9 digits) — needs manual triage,1
104529330,OTHER_NUMERIC,unusual length (9 digits) — needs manual triage,1
161751,OTHER_NUMERIC,unusual length (6 digits) — needs manual triage,1
203138028,OTHER_NUMERIC,unusual length (9 digits) — needs manual triage,1
15002009,EAN8,failed GS1 check-digit validation — likely a scan error,1
https://qrs.ly/yaceb05,URL,"QR/URL code, not a product barcode",1
00410000128040721,OTHER_NUMERIC,unusual length (17 digits) — needs manual triage,2
https://qr.gfgl.nl/hDWeXJAtYW,URL,"QR/URL code, not a product barcode",1
894643434645464,OTHER_NUMERIC,unusual length (15 digits) — needs manual triage,1
04014300061652609202610208,OTHER_NUMERIC,unusual length (26 digits) — needs manual triage,1
0100313668429909215T134FNWNG11H721727083110BGS4M081,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
https://www.wasabi.uk.com/,URL,"QR/URL code, not a product barcode",3
https://qr.lkk.com/p/3300662159,URL,"QR/URL code, not a product barcode",1
http://www.ch-fw315.cn,URL,"QR/URL code, not a product barcode",3
(90)NA18220603091(91)251009,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,32
https://recycle1.moenv.gov.tw/sys/Business/Carton.aspx?c=ODkyMDk5OTQ=,URL,"QR/URL code, not a product barcode",3
